playerShort,player,club,leagueCountry,birthday,height,weight,position,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,english,german,french,spanish,birthYear
alex_17, Álex,Real Madrid Castilla,Spain,15.10.1992,180.0,68.0,Center Midfielder,0.0,68,30,12,26,3,8,0,1,0,0,0,1,1992
alex_4, Alex,Paris Saint-Germain,France,17.06.1982,188.0,92.0,Center Back,0.5,371,243,81,47,38,48,0,2,0,0,1,0,1982
alexander-buettner,Alexander Büttner,Manchester United,England,11.02.1989,174.0,75.0,Left Fullback,0.25,138,54,26,58,12,18,1,0,1,0,0,0,1989
alexander-esswein,Alexander Esswein,1. FC Nürnberg,Germany,25.03.1990,183.0,85.0,Left Winger,0.125,185,85,43,57,36,25,1,0,0,1,0,0,1990
alexander-hien,Alexander Hien,Eintracht Frankfurt,Germany,03.04.1993,183.0,72.0,Defensive Midfielder,0.0,58,25,7,26,2,2,0,0,0,1,0,0,1993
alexander-madlung,Alexander Madlung,VfL Wolfsburg,Germany,11.07.1982,193.0,92.0,Center Back,0.0,325,132,90,103,31,42,4,3,0,1,0,0,1982
alexander-manninger,Alexander Manninger,FC Augsburg,Germany,04.06.1977,188.0,83.0,Goalkeeper,0.125,322,115,96,111,0,11,0,1,0,1,0,0,1977
alexander-meier,Alexander Meier,Eintracht Frankfurt,Germany,17.01.1983,196.0,84.0,Attacking Midfielder,0.0,342,121,85,136,106,39,2,0,0,1,0,0,1983
alexander-ring,Alexander Ring,Bor. Mönchengladbach,Germany,09.04.1991,173.0,72.0,Right Midfielder,0.0,103,49,23,31,6,14,1,0,0,1,0,0,1991
alexander-schwolow,Alexander Schwolow,SC Freiburg,Germany,02.06.1992,189.0,83.0,Goalkeeper,0.125,89,41,22,26,0,1,0,0,0,1,0,0,1992
alexander-tettey,Alexander Tettey,Norwich City,England,04.04.1986,180.0,68.0,Defensive Midfielder,1.0,214,88,54,72,11,34,0,0,1,0,0,0,1986
alexandre-alphonse,Alexandre Alphonse,Stade Brest,France,17.06.1982,176.0,70.0,Right Winger,0.625,229,111,53,65,68,33,0,2,0,0,1,0,1982
alexandre-lacazette,Alexandre Lacazette,Olympique Lyon,France,28.05.1991,174.0,73.0,Center Forward,0.75,153,77,31,45,42,18,2,1,0,0,1,0,1991
alexis, Alexis,Getafe CF,Spain,04.08.1985,183.0,80.0,Center Back,0.0,255,96,57,102,16,77,7,4,0,0,0,1,1985
alexis-sanchez,Alexis Sánchez,FC Barcelona,Spain,19.12.1988,170.0,73.0,Right Winger,0.375,373,215,67,91,96,60,2,2,0,0,0,1,1988
alfaro_2, Alfaro,RCD Mallorca,Spain,23.11.1986,175.0,73.0,Attacking Midfielder,0.25,227,91,51,85,53,25,0,0,0,0,0,1,1986
alhassane-bangoura,Alhassane Bangoura,Rayo Vallecano,Spain,30.09.1992,174.0,68.0,Right Midfielder,1.0,108,38,21,49,7,18,0,1,0,0,0,1,1992
almog-cohen,Almog Cohen,1. FC Nürnberg,Germany,01.09.1988,169.0,68.0,Defensive Midfielder,0.25,116,46,27,43,3,27,0,2,0,1,0,0,1988
alou-diarra,Alou Diarra,West Ham United,England,15.07.1981,190.0,79.0,Defensive Midfielder,1.0,420,195,109,116,24,91,5,2,1,0,0,0,1981
alphonse-areola,Alphonse Aréola,Paris Saint-Germain,France,27.02.1993,190.0,88.0,Goalkeeper,0.5,47,26,14,7,0,0,0,0,0,0,1,0,1993
alvaro-gonzalez_3, Álvaro González,Real Zaragoza,Spain,08.01.1990,183.0,76.0,Center Back,0.25,114,30,34,50,3,43,0,2,0,0,0,1,1990
alvaro-negredo, Álvaro Negredo,Sevilla FC,Spain,20.08.1985,186.0,87.0,Center Forward,0.125,320,161,58,101,150,27,0,5,0,0,0,1,1985
alvaro-rubio, Álvaro Rubio,Real Valladolid,Spain,18.04.1979,178.0,80.0,Defensive Midfielder,0.25,257,80,78,99,4,45,3,0,0,0,0,1,1979
alvaro-vadillo, Álvaro Vadillo,Real Betis,Spain,12.09.1994,180.0,69.0,Left Winger,0.375,55,19,12,24,2,9,1,0,0,0,0,1,1994
alvaro_10, Álvaro,Getafe CF,Spain,27.04.1991,182.0,71.0,Center Forward,0.125,136,50,27,59,32,9,0,0,0,0,0,1,1991
alvaro_8, Álvaro,RCD Mallorca,Spain,19.05.1991,182.0,80.0,Center Forward,0.25,29,9,10,10,3,5,0,0,0,0,0,1,1991
aly-cissokho,Aly Cissokho,Valencia CF,Spain,15.09.1987,181.0,75.0,Left Fullback,1.0,213,109,51,53,4,28,0,3,0,0,0,1,1987
amaya_3, Amaya,Real Betis,Spain,31.05.1983,192.0,86.0,Center Back,0.375,126,45,37,44,5,40,4,1,0,0,0,1,1983
amin-younes,Amin Younes,Bor. Mönchengladbach,Germany,06.08.1993,168.0,67.0,Right Midfielder,0.25,101,47,22,32,11,1,0,0,0,1,0,0,1993
ammar-jemal,Ammar Jemal,AC Ajaccio,France,20.04.1987,186.0,81.0,Left Fullback,0.625,97,41,25,31,12,19,2,0,0,0,1,0,1987
amorebieta, Amorebieta,Athletic Bilbao,Spain,29.03.1985,192.0,85.0,Center Back,0.0,274,98,65,111,5,93,9,4,0,0,0,1,1985
anatoliy-tymoshchuk,Anatoliy Tymoshchuk,Bayern München,Germany,30.03.1979,181.0,75.0,Defensive Midfielder,0.25,406,229,83,94,23,62,2,2,0,1,0,0,1979
ander-herrera, Ander Herrera,Athletic Bilbao,Spain,14.08.1989,182.0,73.0,Attacking Midfielder,0.0,230,101,57,72,21,62,1,4,0,0,0,1,1989
anders-lindegaard,Anders Lindegaard,Manchester United,England,13.04.1984,193.0,80.0,Goalkeeper,0.25,100,50,20,30,0,1,0,0,1,0,0,0,1984
anderson-conceicao, Anderson Conceição,RCD Mallorca,Spain,24.10.1989,188.0,81.0,Center Back,0.5,32,5,7,20,1,3,2,0,0,0,0,1,1989
anderson_7, Anderson,Manchester United,England,13.04.1988,176.0,69.0,Center Midfielder,0.75,220,148,27,45,13,19,0,0,1,0,0,0,1988
andre-ayew,André Ayew,Olympique Marseille,France,17.12.1989,176.0,72.0,Attacking Midfielder,0.75,246,107,66,73,56,45,0,1,0,0,1,0,1989
andre-fomitschow,André Fomitschow,Fortuna Düsseldorf,Germany,07.09.1990,180.0,74.0,Left Midfielder,0.25,136,60,28,48,32,15,1,2,0,1,0,0,1990
andre-hoffmann_2,André Hoffmann,MSV Duisburg,Germany,28.02.1993,187.0,79.0,Defensive Midfielder,0.0,128,51,24,53,11,35,1,1,0,1,0,0,1993
andre-luiz_3, Andre Luiz,AS Nancy,France,27.01.1980,184.0,76.0,Center Back,0.75,270,89,82,99,21,53,2,3,0,0,1,0,1980
andre-pierre-gignac,André-Pierre Gignac,Olympique Marseille,France,05.12.1985,186.0,84.0,Center Forward,0.125,303,115,94,94,101,31,0,0,0,0,1,0,1985
andre-santos, André Santos,Arsenal FC,England,08.03.1983,180.0,74.0,Left Fullback,0.5,197,108,47,42,28,44,0,1,1,0,0,0,1983
andre-santos_2, André Santos,Deportivo La Coruña,Spain,02.03.1989,178.0,72.0,Center Midfielder,0.25,139,52,34,53,4,22,1,0,0,0,0,1,1989
andre-schuerrle,André Schürrle,Bayer Leverkusen,Germany,06.11.1990,184.0,74.0,Left Winger,0.0,262,137,55,70,85,11,0,1,0,1,0,0,1990
andre-weis,André Weis,VfB Stuttgart,Germany,30.09.1989,189.0,86.0,Goalkeeper,0.25,98,31,31,36,0,4,0,1,0,1,0,0,1989
andreas-beck,Andreas Beck,1899 Hoffenheim,Germany,13.03.1987,180.0,70.0,Right Fullback,0.0,296,125,72,99,7,57,1,0,0,1,0,0,1987
andreas-ivanschitz,Andreas Ivanschitz,1. FSV Mainz 05,Germany,15.10.1983,184.0,82.0,Attacking Midfielder,0.25,460,188,122,150,76,62,0,1,0,1,0,0,1983
andreas-lambertz,Andreas Lambertz,Fortuna Düsseldorf,Germany,15.10.1984,172.0,69.0,Defensive Midfielder,0.25,294,132,74,88,39,62,4,1,0,1,0,0,1984
andreas-ottl,Andreas Ottl,FC Augsburg,Germany,01.03.1985,185.0,77.0,Defensive Midfielder,0.0,296,153,69,74,19,23,0,1,0,1,0,0,1985
andreas-weimann,Andreas Weimann,Aston Villa,England,05.08.1991,179.0,72.0,Center Forward,0.0,148,50,37,61,32,12,0,0,1,0,0,0,1991
andres-guardado,Andrés Guardado,Valencia CF,Spain,28.09.1986,169.0,67.0,Left Midfielder,0.125,377,177,83,117,45,45,1,0,0,0,0,1,1986
andres-tunez,Andrés Túñez,Celta Vigo,Spain,15.03.1987,187.0,83.0,Center Back,0.25,99,43,17,39,3,17,0,0,0,0,0,1,1987
andrey-arshavin,Andrey Arshavin,Arsenal FC,England,29.05.1981,172.0,69.0,Center Forward,0.0,358,188,92,78,85,34,0,2,1,0,0,0,1981
andrija-delibasic,Andrija Delibašić,Rayo Vallecano,Spain,24.04.1981,188.0,84.0,Center Forward,0.0,238,94,55,89,56,38,4,0,0,0,0,1,1981
andriy-voronin,Andriy Voronin,Fortuna Düsseldorf,Germany,21.07.1979,174.0,81.0,Center Forward,0.0,462,198,111,153,121,61,2,1,0,1,0,0,1979
andros-townsend,Andros Townsend,Tottenham Hotspur (R),England,16.07.1991,183.0,76.0,Left Midfielder,0.25,158,67,33,58,17,15,0,1,1,0,0,0,1991
andy-johnson_2,Andy Johnson,Queens Park Rangers,England,10.02.1981,170.0,70.0,Center Forward,0.0,378,149,101,128,134,30,2,0,1,0,0,0,1981
angel, Ángel,Real Betis,Spain,10.03.1981,180.0,71.0,Right Fullback,0.25,389,157,93,139,9,87,5,2,0,0,0,1,1981
angel-di-maria,Ángel Di María,Real Madrid,Spain,14.02.1988,180.0,70.0,Left Winger,0.25,391,242,79,70,69,62,3,3,0,0,0,1,1988
angel_4, Ángel,Levante UD,Spain,26.04.1987,172.0,68.0,Center Forward,0.5,177,64,44,69,43,18,1,0,0,0,0,1,1987
ansotegi, Ansotegi,Real Sociedad,Spain,13.07.1982,192.0,84.0,Center Back,0.25,179,74,45,60,11,27,0,0,0,0,0,1,1982
anthony-annan,Anthony Annan,CA Osasuna,Spain,21.07.1986,175.0,64.0,Defensive Midfielder,1.0,176,91,43,42,1,31,0,1,0,0,0,1,1986
anthony-le-tallec,Anthony Le Tallec,Valenciennes FC,France,03.10.1984,184.0,73.0,Right Winger,0.25,313,84,81,148,46,27,0,3,0,0,1,0,1984
anthony-lopes, Anthony Lopes,Olympique Lyon,France,01.10.1990,184.0,81.0,Goalkeeper,0.25,54,27,12,15,0,3,0,0,0,0,1,0,1990
anthony-mounier,Anthony Mounier,Montpellier HSC,France,27.09.1987,174.0,65.0,Left Midfielder,0.0,186,61,60,65,20,19,0,0,0,0,1,0,1987
anthony-reveillere,Anthony Réveillère,Olympique Lyon,France,10.11.1979,180.0,77.0,Right Fullback,0.25,563,285,138,140,9,91,1,1,0,0,1,0,1979
antoine-griezmann,Antoine Griezmann,Real Sociedad,Spain,21.03.1991,176.0,68.0,Left Winger,0.25,219,94,53,72,58,29,0,0,0,0,0,1,1991
antolin-alcaraz,Antolín Alcaraz,Wigan Athletic,England,30.07.1982,184.0,78.0,Center Back,0.0,216,87,60,69,14,43,3,3,1,0,0,0,1982
anton-ferdinand,Anton Ferdinand,Queens Park Rangers,England,18.02.1985,178.0,78.0,Center Back,0.375,317,120,68,129,5,31,0,0,1,0,0,0,1985
anton-putsila,Anton Putsila,SC Freiburg,Germany,10.06.1987,180.0,74.0,Center Midfielder,0.125,139,39,36,64,11,24,0,0,0,1,0,0,1987
antonio-lopez_2, Antonio López,RCD Mallorca,Spain,13.09.1981,176.0,74.0,Left Fullback,0.25,344,138,92,114,16,61,2,3,0,0,0,1,1981
antonio-ruediger,Antonio Rüdiger,VfB Stuttgart,Germany,03.03.1993,190.0,85.0,Center Back,1.0,113,40,26,47,8,24,1,3,0,1,0,0,1993
antonio-rukavina,Antonio Rukavina,Real Valladolid,Spain,26.01.1984,177.0,74.0,Right Fullback,0.0,249,95,70,84,3,37,1,0,0,0,0,1,1984
antonio-valencia_2,Antonio Valencia,Manchester United,England,04.08.1985,175.0,70.0,Right Winger,0.75,344,171,68,105,36,48,3,3,1,0,0,0,1985
apono, Apoño,Real Zaragoza,Spain,13.02.1984,173.0,72.0,Defensive Midfielder,0.125,172,65,43,64,31,45,0,1,0,0,0,1,1984
aranda, Aranda,Real Zaragoza,Spain,27.07.1980,184.0,82.0,Center Forward,0.25,199,73,40,86,35,37,1,1,0,0,0,1,1980
aranzubia, Aranzubía,Deportivo La Coruña,Spain,18.09.1979,184.0,80.0,Goalkeeper,0.0,370,143,90,137,1,36,1,4,0,0,0,1,1979
arbeloa, Arbeloa,Real Madrid,Spain,17.01.1983,184.0,79.0,Right Fullback,0.25,364,244,71,49,6,85,5,0,0,0,0,1,1983
arda-turan,Arda Turan,Atlético Madrid,Spain,30.01.1987,177.0,76.0,Left Winger,0.0,385,209,84,92,71,75,1,3,0,0,0,1,1987
aristide-bance,Aristide Bancé,FC Augsburg,Germany,19.09.1984,190.0,96.0,Center Forward,0.875,239,87,68,84,72,22,1,2,0,1,0,0,1984
arizmendi, Arizmendi,RCD Mallorca,Spain,03.03.1984,189.0,76.0,Center Forward,0.25,270,100,72,98,36,35,2,0,0,0,0,1,1984
arjen-robben,Arjen Robben,Bayern München,Germany,23.01.1984,180.0,80.0,Right Winger,0.25,521,347,80,94,170,50,2,2,0,1,0,0,1984
armand-traore,Armand Traoré,Queens Park Rangers,England,08.10.1989,185.0,82.0,Left Fullback,0.625,148,48,40,60,3,10,1,0,1,0,0,0,1989
arnold-mvuemba,Arnold Mvuemba,Olympique Lyon,France,28.01.1985,172.0,67.0,Defensive Midfielder,0.75,219,78,60,81,15,10,0,0,0,0,1,0,1985
arouna-kone,Arouna Koné,Wigan Athletic,England,11.11.1983,181.0,81.0,Center Forward,1.0,328,160,61,107,95,12,0,0,1,0,0,0,1983
arribas_2, Arribas,CA Osasuna,Spain,01.05.1989,185.0,77.0,Center Back,0.25,148,52,30,66,5,48,4,2,0,0,0,1,1989
arrizabalaga, Arrizabalaga,Athletic Bilbao,Spain,03.10.1994,186.0,81.0,Goalkeeper,0.0,31,18,7,6,0,2,0,0,0,0,0,1,1994
arthur-boka,Arthur Boka,VfB Stuttgart,Germany,02.04.1983,166.0,67.0,Left Fullback,1.0,390,147,95,148,12,66,2,2,0,1,0,0,1983
artjoms-rudnevs,Artjoms Rudņevs,Hamburger SV,Germany,13.01.1988,183.0,81.0,Right Winger,0.0,157,62,30,65,59,17,1,0,0,1,0,0,1988
artur-boruc,Artur Boruc,Southampton FC,England,20.02.1980,193.0,88.0,Goalkeeper,0.125,364,190,84,90,0,24,0,0,1,0,0,0,1980
artur-sobiech,Artur Sobiech,Hannover 96,Germany,12.06.1990,185.0,81.0,Center Forward,0.125,171,70,35,66,45,26,1,1,0,1,0,0,1990
asenjo_2, Asenjo,Atlético Madrid,Spain,28.06.1989,189.0,85.0,Goalkeeper,0.125,148,62,31,55,0,5,1,0,0,0,0,1,1989
ashkan-dejagah,Ashkan Dejagah,Fulham FC,England,05.07.1986,181.0,74.0,Left Winger,0.5,320,130,71,119,56,55,1,4,1,0,0,0,1986
ashley-cole,Ashley Cole,Chelsea FC,England,20.12.1980,170.0,67.0,Left Fullback,0.5,662,404,146,112,16,106,1,3,1,0,0,0,1980
ashley-young,Ashley Young,Manchester United,England,09.07.1985,180.0,65.0,Left Midfielder,0.75,419,193,114,112,77,57,1,2,1,0,0,0,1985
asmir-begovic,Asmir Begović,Stoke City,England,20.06.1987,198.0,83.0,Goalkeeper,0.125,192,68,52,72,1,11,0,1,1,0,0,0,1987
assani-lukimya,Assani Lukimya,Werder Bremen,Germany,25.01.1986,190.0,89.0,Center Back,0.875,241,94,60,87,13,21,3,1,0,1,0,0,1986
atsuto-uchida,Atsuto Uchida,FC Schalke 04,Germany,27.03.1988,176.0,62.0,Right Fullback,0.0,258,135,56,67,6,35,0,1,0,1,0,0,1988
augusto-fernandez,Augusto Fernández,Celta Vigo,Spain,10.04.1986,177.0,71.0,Right Midfielder,0.5,273,116,65,92,31,50,3,1,0,0,0,1,1986
aurelien-chedjou,Aurelien Chedjou,Lille OSC,France,20.06.1985,184.0,75.0,Center Back,0.75,236,115,68,53,20,34,1,1,0,0,1,0,1985
aurtenetxe, Aurtenetxe,Athletic Bilbao,Spain,03.01.1992,182.0,82.0,Center Back,0.0,120,53,30,37,6,25,1,1,0,0,0,1,1992
axel-bellinghausen,Axel Bellinghausen,Fortuna Düsseldorf,Germany,17.05.1983,182.0,76.0,Left Midfielder,0.0,278,103,79,96,17,40,1,1,0,1,0,0,1983
aykut-oezer,Aykut Özer,Eintracht Frankfurt,Germany,01.01.1993,189.0,80.0,Goalkeeper,0.0,73,33,11,29,0,5,0,1,0,1,0,0,1993
ayoze, Ayoze,Deportivo La Coruña,Spain,25.05.1982,175.0,75.0,Left Fullback,0.0,221,92,51,78,4,56,1,1,0,0,0,1,1982
azpilicueta_2, Azpilicueta,Chelsea FC,England,28.08.1989,178.0,70.0,Right Fullback,0.25,288,132,65,91,4,41,1,0,1,0,0,0,1989
baba-diawara,Babá Diawara,Sevilla FC,Spain,05.01.1988,179.0,76.0,Center Forward,1.0,163,57,41,65,47,12,1,0,0,0,0,1,1988
bacary-sagna,Bacary Sagna,Arsenal FC,England,14.02.1983,176.0,72.0,Right Fullback,1.0,432,227,108,97,5,44,0,2,1,0,0,0,1983
baena_4, Baena,Espanyol Barcelona,Spain,02.03.1989,181.0,75.0,Defensive Midfielder,0.25,115,45,27,43,2,27,1,1,0,0,0,1,1989
bafetimbi-gomis,Bafetimbi Gomis,Olympique Lyon,France,06.08.1985,184.0,77.0,Center Forward,1.0,372,158,102,112,129,19,1,0,0,0,1,0,1985
balenziaga, Balenziaga,Real Valladolid,Spain,29.02.1988,177.0,70.0,Left Fullback,0.25,160,67,43,50,0,26,1,0,0,0,0,1,1988
ballesteros, Ballesteros,Levante UD,Spain,04.09.1975,188.0,90.0,Center Back,0.25,509,188,136,185,10,128,10,5,0,0,0,1,1975
bamba-anderson, Bamba Anderson,Eintracht Frankfurt,Germany,10.01.1988,188.0,80.0,Center Back,0.75,142,62,34,46,4,11,0,0,0,1,0,0,1988
baptiste-aloe,Baptiste Aloe,Olympique Marseille,France,29.06.1994,184.0,77.0,Center Back,0.25,1,1,0,0,0,1,0,0,0,0,1,0,1994
barel-mouko,Barel Mouko,Lille OSC,France,05.04.1979,177.0,71.0,Goalkeeper,1.0,24,11,5,8,0,1,0,0,0,0,1,0,1979
barkero, Barkero,Levante UD,Spain,27.04.1979,180.0,71.0,Left Midfielder,0.25,283,105,56,122,56,37,1,2,0,0,0,1,1979
barragan_3, Barragán,Valencia CF,Spain,12.06.1987,187.0,83.0,Right Fullback,0.125,159,76,36,47,4,43,2,1,0,0,0,1,1987
bartra, Bartra,FC Barcelona,Spain,15.01.1991,183.0,70.0,Center Back,0.0,126,81,22,23,6,19,0,0,0,0,0,1,1991
bas-dost,Bas Dost,VfL Wolfsburg,Germany,31.05.1989,192.0,85.0,Center Forward,0.25,184,72,49,63,83,11,0,0,0,1,0,0,1989
bastian-mueller,Bastian Müller,Fortuna Düsseldorf,Germany,31.07.1991,185.0,75.0,Defensive Midfielder,0.0,92,32,22,38,2,15,0,0,0,1,0,0,1991
bastian-oczipka,Bastian Oczipka,Eintracht Frankfurt,Germany,12.01.1989,184.0,87.0,Left Fullback,0.0,166,65,33,68,2,10,0,0,0,1,0,0,1989
bastian-schweinsteiger,Bastian Schweinsteiger,Bayern München,Germany,01.08.1984,183.0,79.0,Defensive Midfielder,0.25,611,397,113,101,91,90,2,1,0,1,0,0,1984
beg-ferati,Beg Ferati,SC Freiburg,Germany,10.11.1986,188.0,81.0,Center Back,0.25,136,69,26,41,2,19,1,0,0,1,0,0,1986
bellvis, Bellvís,Celta Vigo,Spain,24.04.1985,178.0,72.0,Left Midfielder,0.25,109,32,23,54,1,19,2,0,0,0,0,1,1985
ben-foster,Ben Foster,West Bromwich Albion,England,03.04.1983,188.0,80.0,Goalkeeper,0.0,246,89,68,89,0,8,0,1,1,0,0,0,1983
benat, Beñat,Real Betis,Spain,19.02.1987,175.0,72.0,Center Midfielder,0.25,145,67,30,48,15,47,0,0,0,0,0,1,1987
